tic,tmag,camera,ccd,method,gapsplit,nseg,fitcnt,scalesrc,cotstat,n_cadences,n_q0,neg_sap_q0,finite_det_q0,det_median_q0,det_mad_q0,path
267574918,16.32809539410892,4,1,twirl-fs-v2,0.5,1,11136,auto_median_abs,spline,11775,11136,164,11136,1.0,0.12823467702269553,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
2053585323,19.19322504813709,1,1,twirl-fs-v2,0.5,1,9845,auto_robust_abs,spline,11775,9845,4127,9845,1.0,0.5082050005316734,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5358/5323/hlsp_twirlfs_tess_ffi_s0056-0000002053585323_tess_v01_llc.fits
2053863947,19.82547584081344,1,1,twirl-fs-v2,0.5,1,9414,auto_robust_abs,spline,11775,9414,2333,9414,1.0,0.6235670629620552,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5386/3947/hlsp_twirlfs_tess_ffi_s0056-0000002053863947_tess_v01_llc.fits
2053484260,19.91204692176374,1,1,twirl-fs-v2,0.5,1,10187,auto_robust_abs,spline,11775,10187,3914,10187,1.0,0.850470473331213,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5348/4260/hlsp_twirlfs_tess_ffi_s0056-0000002053484260_tess_v01_llc.fits
2053855912,19.68481159832007,1,1,twirl-fs-v2,0.5,1,9350,auto_robust_abs,spline,11775,9350,3144,9350,0.9999999701976776,0.7311133427023887,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5385/5912/hlsp_twirlfs_tess_ffi_s0056-0000002053855912_tess_v01_llc.fits
2053593760,18.06775169026773,1,1,twirl-fs-v2,0.5,1,9412,auto_robust_abs,spline,11775,9412,230,9412,1.0,0.30342573233842846,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5359/3760/hlsp_twirlfs_tess_ffi_s0056-0000002053593760_tess_v01_llc.fits
2053653922,20.26139751237343,1,1,twirl-fs-v2,0.5,1,10175,auto_robust_abs,spline,11775,10175,4363,10175,1.0,0.7521364407777786,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5365/3922/hlsp_twirlfs_tess_ffi_s0056-0000002053653922_tess_v01_llc.fits
2025645477,19.68995869413685,1,2,twirl-fs-v2,0.5,1,9878,auto_robust_abs,spline,11775,9878,2682,9878,1.0,0.6472205778837203,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2564/5477/hlsp_twirlfs_tess_ffi_s0056-0000002025645477_tess_v01_llc.fits
2025609209,19.29310210734926,1,2,twirl-fs-v2,0.5,1,10043,auto_robust_abs,spline,11775,10043,3044,10043,1.0,0.653064299082756,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2560/9209/hlsp_twirlfs_tess_ffi_s0056-0000002025609209_tess_v01_llc.fits
2025732589,19.89911288444472,1,2,twirl-fs-v2,0.5,1,9750,auto_robust_abs,spline,11775,9750,3274,9750,1.0,0.8225857217967509,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2573/2589/hlsp_twirlfs_tess_ffi_s0056-0000002025732589_tess_v01_llc.fits
2025672441,19.21383493115761,1,2,twirl-fs-v2,0.5,1,10218,auto_robust_abs,spline,11775,10218,5219,10218,1.0,0.26467789651751517,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2567/2441/hlsp_twirlfs_tess_ffi_s0056-0000002025672441_tess_v01_llc.fits
2053729290,17.67481212171147,1,2,twirl-fs-v2,0.5,1,9797,auto_robust_abs,spline,11775,9797,21,9797,1.0,0.2377218678832054,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5372/9290/hlsp_twirlfs_tess_ffi_s0056-0000002053729290_tess_v01_llc.fits
60717401,15.95722122715926,1,2,twirl-fs-v2,0.5,1,10188,auto_median_abs,spline,11775,10188,0,10188,1.0000000298023224,0.0537716817677021,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0000/6071/7401/hlsp_twirlfs_tess_ffi_s0056-0000000060717401_tess_v01_llc.fits
2025346048,19.94913846079657,1,3,twirl-fs-v2,0.5,1,10197,auto_robust_abs,spline,11775,10197,3686,10197,1.0,0.6206744527816772,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2534/6048/hlsp_twirlfs_tess_ffi_s0056-0000002025346048_tess_v01_llc.fits
2025276820,19.7170063302199,1,3,twirl-fs-v2,0.5,1,10308,auto_robust_abs,spline,11775,10308,3001,10308,1.0000000298023224,0.7792582512438296,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2527/6820/hlsp_twirlfs_tess_ffi_s0056-0000002025276820_tess_v01_llc.fits
2052904071,19.70937175037729,1,3,twirl-fs-v2,0.5,1,10269,auto_robust_abs,spline,11775,10269,2836,10269,1.0,0.7596804420053959,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5290/4071/hlsp_twirlfs_tess_ffi_s0056-0000002052904071_tess_v01_llc.fits
2052984688,18.95967056771456,1,3,twirl-fs-v2,0.5,1,9427,auto_robust_abs,spline,11775,9427,3787,9427,1.0,0.21952112596035003,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5298/4688/hlsp_twirlfs_tess_ffi_s0056-0000002052984688_tess_v01_llc.fits
2052958059,17.84684571745404,1,3,twirl-fs-v2,0.5,1,10357,auto_robust_abs,spline,11775,10357,202,10357,1.0,0.28510074241161343,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5295/8059/hlsp_twirlfs_tess_ffi_s0056-0000002052958059_tess_v01_llc.fits
2025338685,17.60914000120944,1,3,twirl-fs-v2,0.5,1,10117,auto_median_abs,spline,11775,10117,10,10117,1.0,0.2513627257347107,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/2533/8685/hlsp_twirlfs_tess_ffi_s0056-0000002025338685_tess_v01_llc.fits
2053268727,20.04940724983603,1,4,twirl-fs-v2,0.5,1,11395,auto_robust_abs,spline,11775,11395,4721,11395,1.0,0.8536934541821479,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5326/8727/hlsp_twirlfs_tess_ffi_s0056-0000002053268727_tess_v01_llc.fits
2053308593,19.79959121010413,1,4,twirl-fs-v2,0.5,1,11366,auto_robust_abs,spline,11775,11366,3907,11366,0.9999999701976776,0.6252115374326705,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5330/8593/hlsp_twirlfs_tess_ffi_s0056-0000002053308593_tess_v01_llc.fits
2053310075,19.47726803962524,1,4,twirl-fs-v2,0.5,1,11371,auto_robust_abs,spline,11775,11371,4902,11371,1.0,0.46434969688653943,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5331/0075/hlsp_twirlfs_tess_ffi_s0056-0000002053310075_tess_v01_llc.fits
2052963792,19.61094532697172,1,4,twirl-fs-v2,0.5,1,10846,auto_robust_abs,spline,11775,10846,3370,10846,1.0,0.7846555721640587,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5296/3792/hlsp_twirlfs_tess_ffi_s0056-0000002052963792_tess_v01_llc.fits
2053285405,18.36761516990972,1,4,twirl-fs-v2,0.5,1,11621,auto_robust_abs,spline,11775,11621,3632,11621,1.0,0.3518480780124664,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/5328/5405/hlsp_twirlfs_tess_ffi_s0056-0000002053285405_tess_v01_llc.fits
402993044,16.40687155473485,1,4,twirl-fs-v2,0.5,1,11357,auto_median_abs,spline,11775,11357,1,11357,1.0,0.0893811508655548,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0004/0299/3044/hlsp_twirlfs_tess_ffi_s0056-0000000402993044_tess_v01_llc.fits
2006354476,19.81170025875759,2,1,twirl-fs-v2,0.5,1,9281,auto_robust_abs,spline,11775,9281,4227,9281,1.0,0.12450277422666549,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0635/4476/hlsp_twirlfs_tess_ffi_s0056-0000002006354476_tess_v01_llc.fits
2043064822,19.74645878892895,2,1,twirl-fs-v2,0.5,1,10123,auto_robust_abs,spline,11775,10123,4047,10123,1.0,0.6989326678276062,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4306/4822/hlsp_twirlfs_tess_ffi_s0056-0000002043064822_tess_v01_llc.fits
2005438913,19.37289128566586,2,1,twirl-fs-v2,0.5,1,10846,auto_robust_abs,spline,11775,10846,3503,10846,1.0,0.6296043583095073,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0543/8913/hlsp_twirlfs_tess_ffi_s0056-0000002005438913_tess_v01_llc.fits
2043002920,20.06203278193276,2,1,twirl-fs-v2,0.5,1,9757,auto_robust_abs,spline,11775,9757,3372,9757,1.0,0.4835633339881897,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4300/2920/hlsp_twirlfs_tess_ffi_s0056-0000002043002920_tess_v01_llc.fits
2010851510,17.91997881847866,2,1,twirl-fs-v2,0.5,1,9903,auto_robust_abs,spline,11775,9903,312,9903,1.0,0.3183905472278595,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/1085/1510/hlsp_twirlfs_tess_ffi_s0056-0000002010851510_tess_v01_llc.fits
2006776425,18.83255041936845,2,1,twirl-fs-v2,0.5,1,9478,auto_robust_abs,spline,11775,9478,1943,9478,1.0,0.5674310459554195,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0677/6425/hlsp_twirlfs_tess_ffi_s0056-0000002006776425_tess_v01_llc.fits
2005227768,19.71899031525489,2,2,twirl-fs-v2,0.5,1,10144,auto_robust_abs,spline,11775,10144,5143,10144,1.0,0.342179268014431,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0522/7768/hlsp_twirlfs_tess_ffi_s0056-0000002005227768_tess_v01_llc.fits
2002324529,18.58035845942972,2,2,twirl-fs-v2,0.5,1,11515,auto_robust_abs,spline,11775,11515,2532,11515,1.0,0.1666851483106613,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0232/4529/hlsp_twirlfs_tess_ffi_s0056-0000002002324529_tess_v01_llc.fits
2005173999,19.52106488328631,2,2,twirl-fs-v2,0.5,1,10725,auto_robust_abs,spline,11775,10725,4539,10725,1.0,0.3646364319562912,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0517/3999/hlsp_twirlfs_tess_ffi_s0056-0000002005173999_tess_v01_llc.fits
2007871593,19.63834082311346,2,2,twirl-fs-v2,0.5,1,9973,auto_robust_abs,spline,11775,9973,3106,9973,1.0,0.6378706946611404,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0787/1593/hlsp_twirlfs_tess_ffi_s0056-0000002007871593_tess_v01_llc.fits
2008325206,17.36411305823456,2,2,twirl-fs-v2,0.5,1,10090,auto_robust_abs,spline,11775,10090,18,10090,1.0000000298023224,0.20688490070700644,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0832/5206/hlsp_twirlfs_tess_ffi_s0056-0000002008325206_tess_v01_llc.fits
305557277,15.84761575589989,2,2,twirl-fs-v2,0.5,1,10642,auto_median_abs,spline,11775,10642,0,10642,0.9999999701976776,0.053179957276582715,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0003/0555/7277/hlsp_twirlfs_tess_ffi_s0056-0000000305557277_tess_v01_llc.fits
2001398538,19.6383138117382,2,3,twirl-fs-v2,0.5,1,10991,auto_robust_abs,spline,11775,10991,4069,10991,1.0,0.5257728376150131,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0139/8538/hlsp_twirlfs_tess_ffi_s0056-0000002001398538_tess_v01_llc.fits
2002007502,19.83825189410152,2,3,twirl-fs-v2,0.5,1,11143,auto_robust_abs,spline,11775,11143,4412,11143,1.0,0.6158598868131637,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0200/7502/hlsp_twirlfs_tess_ffi_s0056-0000002002007502_tess_v01_llc.fits
2002709622,19.58949434967261,2,3,twirl-fs-v2,0.5,1,11026,auto_robust_abs,spline,11775,11026,3292,11026,0.9999999701976776,0.6312437073290348,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0270/9622/hlsp_twirlfs_tess_ffi_s0056-0000002002709622_tess_v01_llc.fits
2001692666,19.32678409837838,2,3,twirl-fs-v2,0.5,1,11470,auto_robust_abs,spline,11775,11470,4005,11470,1.0000000298023224,0.5341366900920868,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0169/2666/hlsp_twirlfs_tess_ffi_s0056-0000002001692666_tess_v01_llc.fits
2000826915,18.48019088263474,2,3,twirl-fs-v2,0.5,1,10713,auto_robust_abs,spline,11775,10713,3021,10713,1.0,0.3524162961244583,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0082/6915/hlsp_twirlfs_tess_ffi_s0056-0000002000826915_tess_v01_llc.fits
330159566,15.80042493211497,2,3,twirl-fs-v2,0.5,1,10912,auto_median_abs,spline,11775,10912,0,10912,0.9999999701976776,0.04925165249705314,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0003/3015/9566/hlsp_twirlfs_tess_ffi_s0056-0000000330159566_tess_v01_llc.fits
2040291710,18.77952752645401,2,4,twirl-fs-v2,0.5,1,11775,auto_robust_abs,spline,11775,11775,3985,11775,1.0,0.24569556748867033,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4029/1710/hlsp_twirlfs_tess_ffi_s0056-0000002040291710_tess_v01_llc.fits
2040409512,19.58944347269817,2,4,twirl-fs-v2,0.5,1,11775,auto_robust_abs,spline,11775,11775,5737,11775,1.0,0.49808621127605435,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4040/9512/hlsp_twirlfs_tess_ffi_s0056-0000002040409512_tess_v01_llc.fits
2040642941,19.41922726542948,2,4,twirl-fs-v2,0.5,1,11775,auto_robust_abs,spline,11775,11775,6896,11775,1.0,0.172772416806221,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4064/2941/hlsp_twirlfs_tess_ffi_s0056-0000002040642941_tess_v01_llc.fits
2040371099,19.83551108211799,2,4,twirl-fs-v2,0.5,1,11775,auto_robust_abs,spline,11775,11775,3353,11775,1.0,0.781572436594963,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/4037/1099/hlsp_twirlfs_tess_ffi_s0056-0000002040371099_tess_v01_llc.fits
2003652049,17.54541177781078,2,4,twirl-fs-v2,0.5,1,11387,auto_robust_abs,spline,11775,11387,1971,11387,1.0,0.19786627185344696,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0020/0365/2049/hlsp_twirlfs_tess_ffi_s0056-0000002003652049_tess_v01_llc.fits
346338396,15.74392763336275,2,4,twirl-fs-v2,0.5,1,11775,auto_robust_abs,spline,11775,11775,0,11775,1.0,0.05282687555551529,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v2/0000/0003/4633/8396/hlsp_twirlfs_tess_ffi_s0056-0000000346338396_tess_v01_llc.fits
