tic,tmag,sector,cam,ccd,aperture,status,peak_rank,period_d,t0_bjd,duration_min,depth,depth_snr,sde,log_power,n_cad_kept,dropout_frac,hlsp_path
267574918,16.32809539410892,56,4,1,DET_FLUX_SML,ok,1,1.407882507585553,2459825.4744396363,9.0,0.08993075685295632,0.6407617429856016,62.15680045560616,0.20623229621771152,11136,0.05426751592356688,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX_SML,ok,2,0.46931480625450844,2459825.4733979697,6.0,0.042316114940824955,0.41706083623869455,24.927867042967687,0.08774202560057033,11136,0.05426751592356688,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX_SML,ok,3,2.111631430868609,2459825.4744396363,9.0,0.058946382408913076,0.34318841274203365,15.919128695096651,0.05906949198466289,11136,0.05426751592356688,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX,ok,1,1.407882507585553,2459825.4744396363,9.0,0.2872358854471929,2.046564776287934,57.285840666833046,2.10386357416014,11119,0.05571125265392781,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX,ok,2,8.404481331716552,2459829.4942313028,30.0,0.28149450381420943,1.4609113631148278,28.1356543018398,1.0697286016477077,11119,0.05571125265392781,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX,ok,3,6.785309056849344,2459831.1088146362,30.0,0.27070770404901634,1.4049296010019312,25.86898253845583,0.9893159239251125,11119,0.05571125265392781,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX_LAG,ok,1,8.404481331716552,2459829.4942313028,30.0,0.4834462389677505,2.508977711846922,57.94230531868766,3.155223590622855,11008,0.0651380042462845,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX_LAG,ok,2,8.451382398622082,2459829.446314636,30.0,0.44892859916878947,2.3298388915593353,49.67223638614019,2.720747976547297,11008,0.0651380042462845,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
267574918,16.32809539410892,56,4,1,DET_FLUX_LAG,ok,3,8.335097716605071,2459829.562981303,30.0,0.44791387880671585,2.3245727201280797,49.438384952052495,2.7084623781736443,11008,0.0651380042462845,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0002/6757/4918/hlsp_twirlfs_tess_ffi_s0056-0000000267574918_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_SML,ok,1,11.521548350171882,2459834.3861357924,30.0,1.7810440542093777,5.340762760946565,24.31097906901447,14.274530653655594,10150,0.13800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_SML,ok,2,11.587665195491766,2459834.3861357924,30.0,1.7810440542093777,5.340762760946565,24.31097906901447,14.274530653655594,10150,0.13800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_SML,ok,3,11.654545248593598,2459834.3861357924,30.0,1.7810440542093777,5.340762760946565,24.31097906901447,14.274530653655594,10150,0.13800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX,ok,1,11.521548350171882,2459834.3882191256,30.0,8.565692628339942,25.685680318928508,96.92553600824962,330.1699059143875,10148,0.13817409766454353,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX,ok,2,11.587665195491766,2459834.3882191256,30.0,8.565692628339942,25.685680318928508,96.92553600824962,330.1699059143875,10148,0.13817409766454353,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX,ok,3,11.654545248593598,2459834.3882191256,30.0,8.565692628339942,25.685680318928508,96.92553600824962,330.1699059143875,10148,0.13817409766454353,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_LAG,ok,1,11.521548350171882,2459834.390302459,30.0,14.341221071439701,43.00457504848696,115.41334484439842,925.5177981895773,10145,0.13842887473460722,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_LAG,ok,2,11.587665195491766,2459834.390302459,30.0,14.341221071439701,43.00457504848696,115.41334484439842,925.5177981895773,10145,0.13842887473460722,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2052947887,19.56495805556483,56,1,3,DET_FLUX_LAG,ok,3,11.654545248593598,2459834.390302459,30.0,14.341221071439701,43.00457504848696,115.41334484439842,925.5177981895773,10145,0.13842887473460722,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5294/7887/hlsp_twirlfs_tess_ffi_s0056-0000002052947887_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_SML,ok,1,0.3408862666072875,2459825.4223917923,30.0,0.0850761040469554,2.208775094469668,7.052322679347111,2.5984217092512085,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_SML,ok,2,4.230983002735131,2459828.4057251257,6.0,0.6707319803110676,2.2235228291892475,6.583807723755435,2.4743476417660353,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_SML,ok,3,4.715079298210738,2459828.244266792,21.0,0.3852700487637858,2.2100919985391765,6.488639022415047,2.449144672828423,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX,ok,1,1.2233620715079454,2459826.2703084587,30.0,0.2588917282543005,3.6120474332688004,12.709030140326545,6.63546776889136,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX,ok,2,5.366717398556042,2459830.4911417924,30.0,0.5312047512544958,3.5565868419305224,12.057290721637216,6.3490159744953925,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX,ok,3,1.0137285263472688,2459825.566141792,30.0,0.22130896021249422,3.475222050792309,11.652686201587718,6.171184639662253,11728,0.003991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_LAG,ok,1,6.732591286587408,2459831.714058459,30.0,1.006317091190148,6.028626146489521,31.405776790916736,18.228133584385212,11725,0.004246284501061571,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_LAG,ok,2,6.680617894071391,2459831.6994751254,30.0,0.9720342910072831,5.823245370025851,29.156961322258642,17.00731193209257,11725,0.004246284501061571,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2003450414,18.80766859038722,56,2,4,DET_FLUX_LAG,ok,3,6.770213013880855,2459831.7119751256,30.0,0.9674935211962845,5.79604260874173,28.864950061192218,16.84878684402214,11725,0.004246284501061571,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0345/0414/hlsp_twirlfs_tess_ffi_s0056-0000002003450414_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_SML,ok,1,1.0021559154423683,2459825.3053150987,30.0,0.16463419343414135,2.5834512029040018,11.509804059047616,3.415156623611494,11027,0.0635244161358811,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_SML,ok,2,11.119707184898562,2459826.144898432,30.0,0.45863139412464515,2.3801992663945253,9.153667274057335,2.8396272016356603,11027,0.0635244161358811,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_SML,ok,3,4.689502462550007,2459828.6803150987,30.0,0.34538774116979815,2.312198996679674,8.51690161250452,2.684085564383448,11027,0.0635244161358811,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX,ok,1,1.004648930827273,2459825.3157317652,30.0,0.14943167179963562,2.344706912692436,26.282200693759876,2.8135578916410857,10953,0.06980891719745223,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX,ok,2,0.999180580497342,2459825.351148432,30.0,0.14598963394863096,2.2773417054865708,24.683376802671614,2.65346516594668,10953,0.06980891719745223,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX,ok,3,1.0596545489789797,2459825.9865650986,30.0,0.1439830321788636,2.095140362543381,20.543773723553244,2.2389602639853243,10953,0.06980891719745223,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_LAG,ok,1,1.0641219096090808,2459825.982398432,30.0,0.13603608040823606,1.9793516838597371,38.48588259646438,1.9986280386662951,10871,0.0767728237791932,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_LAG,ok,2,0.9975352380207186,2459825.382398432,30.0,0.12082263801102965,1.8622692644216532,33.944996944490846,1.773670347497233,10871,0.0767728237791932,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
2004754584,19.79449829985926,56,2,2,DET_FLUX_LAG,ok,3,1.0048155729397914,2459825.3094817656,30.0,0.11589945001518838,1.8183970074844253,32.30689538301675,1.6925179967417168,10871,0.0767728237791932,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0475/4584/hlsp_twirlfs_tess_ffi_s0056-0000002004754584_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_SML,ok,1,7.265461886691314,2459830.515072604,30.0,1.2866530265585505,7.707694495203325,24.434014126335924,29.798568193541005,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_SML,ok,2,8.266866534438757,2459829.502572604,30.0,1.7278069034576438,7.3246626647406945,21.799039929668023,26.867850260723024,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_SML,ok,3,4.850976540838844,2459828.071322604,30.0,0.9641852238981375,7.068450584213008,20.2101573170422,25.100634941554542,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX,ok,1,7.274186209308423,2459830.483822604,30.0,2.693414879820721,16.13490087379683,67.55970927293224,130.58070686711403,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX,ok,2,7.353658263941737,2459830.2442392707,30.0,2.2632236746449474,13.368800487965453,45.87736107350728,89.63817452578414,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX,ok,3,4.850976540838844,2459828.0525726043,30.0,1.8213612089088123,13.352415471712845,45.84053148940631,89.5686296395798,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_LAG,ok,1,7.274186209308423,2459830.483822604,30.0,3.5287107846594457,21.13874069284407,83.10050707239223,224.13239643189385,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_LAG,ok,2,4.850976540838844,2459828.0525726043,30.0,2.41952706754862,17.73757478359783,58.26805182328257,158.06100322621145,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
1201143622,19.99105796207564,56,4,4,DET_FLUX_LAG,ok,3,8.300850090797736,2459829.4567392706,30.0,4.075764794484816,17.27832095165564,55.05298932897957,149.5067279396567,11377,0.03380042462845011,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0012/0114/3622/hlsp_twirlfs_tess_ffi_s0056-0000001201143622_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_SML,ok,1,2.339118840429783,2459826.4977949834,30.0,0.31301237168698404,3.2366673242727537,8.771212923288052,5.290744220771975,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_SML,ok,2,4.576132512347595,2459828.5561283166,30.0,0.45446969909781665,3.0423379452727968,7.361063226886305,4.64721091645635,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_SML,ok,3,0.46953303810886104,2459825.432169983,9.0,0.2390415402566352,2.907313155459408,6.568601056195888,4.285564347619841,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX,ok,1,0.9882588815871862,2459825.9196699834,21.0,0.27163850269937256,3.2928927751563912,11.24199296626119,5.497166973082399,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX,ok,2,1.0031512089062107,2459825.78321165,30.0,0.2201038154605648,3.202445880746923,10.588684515271169,5.232134474672223,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX,ok,3,6.924920185090905,2459830.7227949835,30.0,0.6210847858569418,3.2232276736900216,10.528145597201513,5.2075752015100045,10835,0.07983014861995753,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_LAG,ok,1,1.0005003434894932,2459825.8373783166,30.0,0.259629775458583,3.777533445615272,14.246957475549356,7.280022992904817,10834,0.07991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_LAG,ok,2,7.602824493089214,2459830.05196165,30.0,0.6355501423379574,3.8069600260500636,14.225557334369878,7.270631701664362,10834,0.07991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2001403034,19.22780202958116,56,2,3,DET_FLUX_LAG,ok,3,7.274166095815003,2459830.45196165,30.0,0.6286706590695064,3.7657517624400043,13.868824910090016,7.114082356347975,10834,0.07991507430997877,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/0140/3034/hlsp_twirlfs_tess_ffi_s0056-0000002001403034_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_SML,ok,1,0.1519742888548204,2459825.3095411854,15.0,0.1637614192934036,4.057914434728231,7.705388071492572,8.836465906942186,9655,0.1800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_SML,ok,2,0.22772212670250866,2459825.3095411854,21.0,0.15913237099817212,3.8301504200655354,6.501696861377835,7.837503009095217,9655,0.1800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_SML,ok,3,0.663958928649542,2459825.816832852,6.0,0.49751875486206043,3.936027985253432,6.4529349548045145,7.797034710344092,9655,0.1800424628450106,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX,ok,1,11.654637349376847,2459834.466832852,30.0,1.254321654010748,5.316673670408373,10.08418815131861,14.15990530548233,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX,ok,2,10.25397490929692,2459834.466832852,30.0,1.2152611258040211,5.1511084175046165,9.283771506847618,13.291736435014112,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX,ok,3,11.43464599794182,2459834.466832852,30.0,1.7089727630960905,5.124528426949248,9.146315751477081,13.142645572519287,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_LAG,ok,1,11.43464599794182,2459834.466832852,30.0,2.338154367266216,7.011193379082278,13.701272948645581,24.601346303247354,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_LAG,ok,2,11.499766406508376,2459834.466832852,30.0,2.338154367266216,7.011193379082278,13.701272948645581,24.601346303247354,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
2053744433,19.84025125518876,56,1,2,DET_FLUX_LAG,ok,3,11.565632785973813,2459834.466832852,30.0,2.338154367266216,7.011193379082278,13.701272948645581,24.601346303247354,9656,0.17995753715498938,/pdo/users/tehan/tglc-gpu-production/hlsp_s0056_twirl_fs_v1/0000/0020/5374/4433/hlsp_twirlfs_tess_ffi_s0056-0000002053744433_tess_v01_llc.fits
